what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui",1264441327956
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1264441327962
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1264441327966
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1264441327976
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1264441327976
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ui",1264441327981
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1264441327981
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.resources.ui",1264441327987
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1264441327992
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1264441327992
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.help.ui",1264441327997
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.bugs",1264441328002
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1264441328002
stopped,bundle,org.eclipse.rse.importexport,1.2.1.v200909160005,"org.eclipse.rse.importexport",1264441328008
stopped,bundle,org.eclipse.rse.shells.ui,3.0.100.v200905272300,"org.eclipse.rse.shells.ui",1264441328018
stopped,bundle,org.eclipse.rse.files.ui,3.1.1.v200908061445,"org.eclipse.rse.files.ui",1264441328025
stopped,bundle,org.eclipse.rse.processes.ui,3.0.101.v200907301400,"org.eclipse.rse.processes.ui",1264441328141
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1264441328151
